word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
litre,9,-3.602352249466422,54.97543090999765,505760.4492948027,269992.84,4,6,869954.94,342485.02,0.2
product,9,-2.1939171120575196,53.87249708808207,452398.9770182473,216797.06,5,6,746766.43,292033.51,0.55
serving,9,-1.9319571024815534,53.36547584631343,374001.2200976116,116611.56,6,5,674616.42,224198.39,0.64
buttie,9,-2.2796950684059083,54.303200581245356,530101.0607368135,240682.34,6,8,666233.34,307518.75,0.43
munchie,9,-3.061479984890815,55.25511378239075,351956.88060646126,179102.37,7,6,464967.58,220476.77,0.62
fruity,9,-1.7758263098604188,53.449249033812045,400146.3695139885,252525.76,4,6,507040.88,251509.64,0.3
coconut,9,-1.9758290146830921,53.24393615233034,515412.81462340395,348032.16,4,5,633252.77,326025.02,0.22
meatballs,9,-2.8189093814877175,55.165144943713145,415770.09318234725,210935.52,5,6,515993.62,252511.18,0.27
savoury,9,-2.4955594452997936,54.37108271760763,384414.51055612427,189009.85,7,8,497396.24,263200.5,0.67
many,9,-2.3658494025726653,54.33006939625614,424429.86903874803,251538.77,4,6,816642.48,314073.89,0.4
telephone,9,-1.568950086585931,53.64914087427648,424134.65039389295,138347.7,5,6,740915.63,223496.37,0.64
macaroni,9,-3.6299398140750503,55.94751207052173,295360.00259129173,171925.44,20,7,475911.51,216582.62,0.81
pan,9,-1.6832180306099642,53.581501923606474,285467.22786537436,185123.81,4,7,723466.42,230454.0,0.55
barbecued,9,-1.8250631955047334,53.76698507897728,450241.7018052679,361025.39,4,5,585379.34,337244.11,0.33
either,9,-2.214475675788221,53.683369910622524,462262.66492638754,417366.4,5,7,711631.9,375934.67,0.0
mustard,9,-1.7922067856728396,52.68586345718211,434326.10023077833,284330.13,5,5,581987.79,304881.84,0.3
garden,9,-1.8406944484472088,52.526734642431485,554469.5539885391,267181.05,4,6,669411.77,320950.61,0.3
feel,9,-2.2068257299477074,52.38084800921911,508021.5315703226,282544.4,5,5,687696.22,363696.0,0.1
gourmet,9,-2.9116994883788077,54.68864059495808,336598.45619370654,248952.88,6,7,454679.53,259116.74,0.38
zero,9,-3.7540149620061904,54.17916343545348,501042.72462379094,331849.04,6,7,637971.26,370911.2,0.08
most,9,-1.3348376306860956,52.124073978119796,542558.50369211,306113.59,5,6,779242.4,333220.56,0.09
mineral,9,-1.9288023103639946,53.59888490815841,507597.31010388536,432845.61,7,8,694468.91,353551.49,0.4
allergen,9,-1.8991482411892948,53.13787275151287,357528.84847973817,339369.41,6,6,654146.02,291462.85,0.33
sole,9,-1.6312568039690334,53.801214741934736,494112.3537988045,223841.17,5,5,679863.84,296854.31,0.4
look,9,-2.7855666496234113,53.208640435729535,604236.1700648901,290281.65,6,7,604236.17,288622.6,0.23
cucumber,9,-1.6202008439282027,52.7282502279937,418709.2697740457,196822.53,6,7,616550.71,211860.76,0.69
person,9,-2.4526191781436855,53.0064576714355,587858.3194105024,322477.25,6,7,587858.32,311932.03,0.31
popular,9,-2.5273803758572746,52.693301271457905,726804.2787090142,232146.38,5,8,726804.28,343973.47,0.46
range,9,-2.863538132811008,53.52629940521308,468869.452682078,368781.01,5,6,655144.54,331746.56,0.18
mouth,9,-2.511514942095336,54.43056469148946,381611.4718191736,306049.14,5,5,602434.97,279119.79,0.5
into,9,-2.5913088305060397,54.598876596377025,371627.60059481807,272615.41,5,5,856289.49,297490.75,0.4
facebook,9,-1.3941109868060537,53.27337978076649,382333.36695656215,147057.25,8,5,642472.18,245023.95,0.69
spiced,9,-3.1687437406919603,54.893123074565175,474463.8355340507,311625.65,5,5,480930.4,282791.91,0.2
crab,9,-1.852389525738838,52.9999371859515,451226.40448228555,355825.78,8,5,542933.3,322619.96,0.46
scoop,9,-2.698601099502258,55.14162517240532,735648.8493276417,278541.43,6,5,952834.43,379815.05,0.09
chunk,9,-3.1519377101983337,52.15865250103455,712653.558847609,359569.53,7,6,719226.25,396059.36,0.46
